id,name,sector,abatement_tco2,cost_per_tco2_usd,cost_per_tco2,selected,details
66,Increased Recycled Fiber Use,Paper & Pulp,4206069,-21.52450924,-1722,TRUE,"{""mode"":""quick""}"
67,Membrane Filtration,Paper & Pulp,1577276,-17.21960739,-1377.6,TRUE,"{""mode"":""quick""}"
68,Flash Condensing with Steam,Paper & Pulp,2628793,-8.609803696,-688.8,TRUE,"{""mode"":""quick""}"
69,Black Liquor Firing at Higher Concentration,Paper & Pulp,3154552,4.304901848,344.4,TRUE,"{""mode"":""quick""}"
70,Small Hydro,Paper & Pulp,3680310,12.91470554,1033.2,TRUE,"{""mode"":""quick""}"
71,Functional Surface Technology,Paper & Pulp,2103034,25.82941109,2066.4,TRUE,"{""mode"":""quick""}"
72,Sustainable Forestry and Agroforestry,Paper & Pulp,4731828,34.43921479,2755.1,TRUE,"{""mode"":""quick""}"
73,Biogas from Effluent Treatment,Paper & Pulp,1892731,43.04901848,3443.9,TRUE,"{""mode"":""quick""}"
74,Supercritical CO2 Drying,Paper & Pulp,3154552,51.65882218,4132.7,TRUE,"{""mode"":""quick""}"
75,Energy efficiency improvements,Petrochemicals,8160147,-57.39869131,-4591.9,TRUE,"{""mode"":""quick""}"
76,Waste heat recovery systems,Petrochemicals,3250790,-34.43921479,-2755.1,TRUE,"{""mode"":""quick""}"
77,Process optimization,Petrochemicals,4080073,-28.69934565,-2295.9,TRUE,"{""mode"":""quick""}"
78,Use of renewable energy,Petrochemicals,22224790,11.47973826,918.4,TRUE,"{""mode"":""quick""}"
79,Switching to low-carbon feedstocks,Petrochemicals,16320294,22.95947652,1836.8,TRUE,"{""mode"":""quick""}"
80,Carbon capture and storage (CCS),Petrochemicals,40834392,57.39869131,4591.9,TRUE,"{""mode"":""quick""}"
81,Energy Efficiency Improvements,Refineries,6893946,-206.6352887,-16530.8,TRUE,"{""mode"":""quick""}"
82,Process Optimization,Refineries,2611343,-22.95947652,-1836.8,TRUE,"{""mode"":""quick""}"
83,Use of Renewable Energy,Refineries,4178149,0,0,TRUE,"{""mode"":""quick""}"
84,Hydrogen Use,Refineries,10445373,34.43921479,2755.1,TRUE,"{""mode"":""quick""}"
85,Carbon Capture and Storage (CCS),Refineries,31336119,57.39869131,4591.9,TRUE,"{""mode"":""quick""}"
86,Fuel Switching,Refineries,14535707,106.7615658,8541.3,TRUE,"{""mode"":""quick""}"
87,Zero-gap technology,Chlor Alkali,480676,-71.7368844,-5738.9,TRUE,"{""mode"":""quick""}"
88,Using hydrogen for steam production,Chlor Alkali,475563,-20.50281254,-1640.2,TRUE,"{""mode"":""quick""}"
89,Switching to renewable energy,Chlor Alkali,4806761,-14.33819309,-1147.1,TRUE,"{""mode"":""quick""}"
90,Oxygen-depolarized cathode (ODC) technology,Chlor Alkali,1442028,-10.68763632,-855,TRUE,"{""mode"":""quick""}"
91,Carbon capture and storage (CCS),Chlor Alkali,4795626,57.39869131,4591.9,TRUE,"{""mode"":""quick""}"
